path,offset_sec,vstart_sec
2015-02-16-16-49-06_denoised_1768,0.0,0.6
2015-02-16-16-49-06_denoised_617,-0.2,2.0
2015-02-16-16-49-06_denoised_164,1.2,1.68
2015-02-16-16-49-06_denoised_793,1.4,1.32
2015-02-16-16-49-06_denoised_1205,0.0,0.52
2015-02-16-16-49-06_denoised_354,0.0,2.0
2015-02-16-16-49-06_denoised_308,-1.0,2.76
2015-02-16-16-49-06_denoised_1318,-0.6,0.96
2015-02-16-16-49-06_denoised_524,1.0,1.56
2015-02-16-16-49-06_denoised_1648,-1.8,2.96
2015-02-16-16-49-06_denoised_859,-2.0,2.56
2015-02-16-16-49-06_denoised_1515,1.8,0.36
2015-02-16-16-49-06_denoised_1037,-1.2,2.96
2015-02-16-16-49-06_denoised_1253,1.6,0.36
2015-02-16-16-49-06_denoised_1059,1.0,0.12
2015-02-16-16-49-06_denoised_1144,-1.0,1.72
2015-02-16-16-49-06_denoised_548,-1.0,2.64
2015-02-16-16-49-06_denoised_1472,1.6,1.24
2015-02-16-16-49-06_denoised_1082,0.4,0.08
2015-02-16-16-49-06_denoised_1667,0.0,0.36
2015-02-16-16-49-06_denoised_1296,1.6,1.2
2015-02-16-16-49-06_denoised_211,0.4,0.76
2015-02-16-16-49-06_denoised_261,-1.0,1.32
2015-02-16-16-49-06_denoised_1274,0.6,0.0
2015-02-16-16-49-06_denoised_1123,1.8,0.0
2015-02-16-16-49-06_denoised_997,0.2,1.84
2015-02-16-16-49-06_denoised_1757,-0.2,0.36
2015-02-16-16-49-06_denoised_92,-2.0,2.96
2015-02-16-16-49-06_denoised_1102,-1.6,2.68
2015-02-16-16-49-06_denoised_737,0.0,2.68
2015-02-16-16-49-06_denoised_1730,-1.4,2.6
2015-02-16-16-49-06_denoised_1716,1.4,0.24
2015-02-16-16-49-06_denoised_188,1.4,1.48
2015-02-16-16-49-06_denoised_1707,0.8,1.64
2015-02-16-16-49-06_denoised_1186,-1.8,2.96
2015-02-16-16-49-06_denoised_1778,0.2,1.12
2015-02-16-16-49-06_denoised_328,0.2,0.4
