filename,start_time,occurring_time,end_time,material,action_type,effect
2015-02-16-16-49-06_denoised_67.mp4,0.17743799899999999,2.677438,5.1774380010000005,ceramic,hit,static
2015-02-16-16-49-06_denoised_92.mp4,1.1751979989999999,3.675198,6.175198001,ceramic,hit,static
2015-02-16-16-49-06_denoised_118.mp4,2.2133539989999997,4.713354,7.213354001,ceramic,hit,static
2015-02-16-16-49-06_denoised_164.mp4,4.054395999,6.554396,9.054396001,ceramic,hit,static
2015-02-16-16-49-06_denoised_188.mp4,4.9969789989999995,7.496979,9.996979001,ceramic,hit,rigid-motion
2015-02-16-16-49-06_denoised_211.mp4,5.927155999,8.427156,10.927156001,ceramic,hit,static
2015-02-16-16-49-06_denoised_235.mp4,6.882238999,9.382239,11.882239001,ceramic,hit,static
2015-02-16-16-49-06_denoised_261.mp4,7.910520998999999,10.410521,12.910521001,metal,hit,rigid-motion
2015-02-16-16-49-06_denoised_308.mp4,9.781135999,12.281136,14.781136001,ceramic,hit,rigid-motion
2015-02-16-16-49-06_denoised_328.mp4,10.604989999,13.10499,15.604990001,water,hit,splash
2015-02-16-16-49-06_denoised_354.mp4,11.651708999,14.151709,16.651709001,ceramic,hit,rigid-motion
2015-02-16-16-49-06_denoised_524.mp4,18.441791999,20.941792,23.441792001,ceramic,hit,static
2015-02-16-16-49-06_denoised_548.mp4,19.405562999,21.905563,24.405563001,ceramic,hit,static
2015-02-16-16-49-06_denoised_578.mp4,20.608354999,23.108355,25.608355001,ceramic,scratch,static
2015-02-16-16-49-06_denoised_617.mp4,22.142520999,24.642521,27.142521001,ceramic,scratch,static
2015-02-16-16-49-06_denoised_712.mp4,25.952519999,28.45252,30.952520001,metal,hit,static
2015-02-16-16-49-06_denoised_737.mp4,26.941354999,29.441355,31.941355001,metal,hit,static
2015-02-16-16-49-06_denoised_793.mp4,29.193364999,31.693365,34.193365001,metal,scratch,static
2015-02-16-16-49-06_denoised_859.mp4,31.850562999,34.350563,36.850563001,None,scratch,static
2015-02-16-16-49-06_denoised_997.mp4,37.377063999,39.877064,42.377064000999994,None,hit,None
2015-02-16-16-49-06_denoised_1037.mp4,38.959678999000005,41.459679,43.959679001,metal,hit,static
2015-02-16-16-49-06_denoised_1059.mp4,39.852374999000006,42.352375,44.852375001,ceramic,hit,None
2015-02-16-16-49-06_denoised_1082.mp4,40.742320999,43.242321,45.74232100099999,ceramic,hit,None
2015-02-16-16-49-06_denoised_1102.mp4,41.555697999,44.055698,46.555698000999996,ceramic,hit,static
2015-02-16-16-49-06_denoised_1123.mp4,42.397220999000005,44.897221,47.397221001,ceramic,hit,rigid-motion
2015-02-16-16-49-06_denoised_1144.mp4,43.238250999,45.738251,48.238251000999995,ceramic,scratch,static
2015-02-16-16-49-06_denoised_1186.mp4,44.934916999,47.434917,49.934917000999995,ceramic,hit,static
2015-02-16-16-49-06_denoised_1205.mp4,45.676093999,48.176094,50.676094000999996,metal,hit,rigid-motion
2015-02-16-16-49-06_denoised_1228.mp4,46.601508999,49.101509,51.601509001,ceramic,hit,static
2015-02-16-16-49-06_denoised_1253.mp4,47.591166999,50.091167,52.591167000999995,ceramic,hit,static
2015-02-16-16-49-06_denoised_1274.mp4,48.445113999,50.945114,53.44511400099999,ceramic,hit,static
2015-02-16-16-49-06_denoised_1296.mp4,49.307406999,51.807407,54.307407000999994,ceramic,hit,rigid-motion
2015-02-16-16-49-06_denoised_1318.mp4,50.205386999000005,52.705387,55.205387001,ceramic,scratch,static
2015-02-16-16-49-06_denoised_1472.mp4,56.353862999,58.853863,61.35386300099999,ceramic,scratch,static
2015-02-16-16-49-06_denoised_1515.mp4,58.069095999000005,60.569096,63.069096001,ceramic,scratch,static
2015-02-16-16-49-06_denoised_1648.mp4,63.398047999000006,65.898048,68.398048001,None,hit,deform
2015-02-16-16-49-06_denoised_1667.mp4,64.140235999,66.640236,69.140236001,None,hit,splash
2015-02-16-16-49-06_denoised_1707.mp4,65.779448999,68.279449,70.779449001,None,hit,deform
2015-02-16-16-49-06_denoised_1716.mp4,66.121436999,68.621437,71.121437001,None,hit,deform
2015-02-16-16-49-06_denoised_1730.mp4,66.666915999,69.166916,71.666916001,ceramic,hit,rigid-motion
2015-02-16-16-49-06_denoised_1757.mp4,67.750892999,70.250893,72.75089300100001,ceramic,hit,static
2015-02-16-16-49-06_denoised_1768.mp4,68.209052999,70.709053,73.209053001,ceramic,hit,static
2015-02-16-16-49-06_denoised_1778.mp4,68.607894999,71.107895,73.52,ceramic,hit,static
2015-02-16-16-56-35_denoised_121.mp4,2.316343999,4.816344,7.316344001,cloth,hit,deform
2015-02-16-16-56-35_denoised_187.mp4,4.9637079989999995,7.463708,9.963708001,cloth,hit,static
2015-02-16-16-56-35_denoised_213.mp4,6.0192499989999995,8.51925,11.019250001,cloth,hit,static
